timesteps,mean_reward
1103,169.4730987
1104,169.4730987
1105,169.4730987
1106,169.4730987
1107,169.4730987
1108,169.4730987
1109,169.4730987
1110,169.4730987
1111,169.4730987
1112,169.4730987
1113,169.4730987
1114,169.4730987
1115,169.4730987
1116,169.4730987
1117,169.4730987
1118,169.4730987
1119,169.4730987
1120,169.4730987
1121,169.4730987
1122,169.4730987
1123,169.4730987
1124,169.4730987
1125,169.4730987
1126,169.4730987
1127,169.4730987
1128,169.4730987
1129,169.4730987
1130,169.4730987
1131,169.4730987
1132,169.4730987
1133,169.4730987
1134,169.4730987
1135,169.4730987
1136,169.4730987
1137,169.4730987
1138,169.4730987
1139,169.4730987
1140,169.4730987
1141,169.4730987
1142,169.4730987
1143,169.4730987
1144,169.4730987
1145,169.4730987
1146,169.4730987
1147,169.4730987
1148,169.4730987
1149,169.4730987
1150,169.4730987
1151,169.4730987
1152,169.65070500000002
1153,169.65070500000002
1154,169.65070500000002
1155,169.65070500000002
1156,169.65070500000002
1157,169.65070500000002
1158,169.65070500000002
1159,169.65070500000002
1160,169.65070500000002
1161,169.65070500000002
1162,169.65070500000002
1163,169.65070500000002
1164,169.65070500000002
1165,169.65070500000002
1166,169.65070500000002
1167,169.65070500000002
1168,169.65070500000002
1169,169.65070500000002
1170,169.65070500000002
1171,169.65070500000002
1172,169.65070500000002
1173,169.65070500000002
1174,169.65070500000002
1175,169.65070500000002
1176,169.65070500000002
1177,169.65070500000002
1178,169.65070500000002
1179,169.65070500000002
1180,169.65070500000002
1181,169.65070500000002
1182,169.65070500000002
1183,169.65070500000002
1184,169.65070500000002
1185,169.65070500000002
1186,169.65070500000002
1187,169.65070500000002
1188,169.65070500000002
1189,169.65070500000002
1190,169.65070500000002
1191,169.65070500000002
1192,169.65070500000002
1193,169.65070500000002
1194,169.65070500000002
1195,169.65070500000002
1196,169.65070500000002
1197,169.65070500000002
1198,169.65070500000002
1199,169.65070500000002
1200,169.65070500000002
1201,169.65070500000002
1202,169.65070500000002
1203,169.65070500000002
1204,169.65070500000002
1205,169.65070500000002
1206,169.65070500000002
1207,169.65070500000002
1208,169.65070500000002
1209,169.65070500000002
1210,169.65070500000002
1211,169.65070500000002
1212,169.65070500000002
1213,169.65070500000002
1214,169.65070500000002
1215,169.65070500000002
1216,169.65070500000002
1217,169.65070500000002
1218,169.65070500000002
1219,169.65070500000002
1220,169.65070500000002
1221,169.65070500000002
1222,169.65070500000002
1223,169.65070500000002
1224,169.65070500000002
1225,169.65070500000002
1226,169.65070500000002
1227,169.65070500000002
1228,169.65070500000002
1229,169.65070500000002
1230,169.65070500000002
1231,169.65070500000002
1232,169.65070500000002
1233,169.65070500000002
1234,169.65070500000002
1235,169.65070500000002
1236,169.65070500000002
1237,169.65070500000002
1238,169.65070500000002
1239,169.65070500000002
1240,169.65070500000002
1241,169.65070500000002
1242,169.65070500000002
1243,169.65070500000002
1244,169.65070500000002
1245,169.65070500000002
1246,169.65070500000002
1247,169.65070500000002
1248,168.14814091666668
1249,168.14814091666668
1250,168.14814091666668
1251,168.14814091666668
1252,168.14814091666668
1253,168.14814091666668
1254,168.14814091666668
1255,168.14814091666668
1256,168.14814091666668
1257,168.14814091666668
1258,168.14814091666668
1259,168.14814091666668
1260,168.14814091666668
1261,168.14814091666668
1262,168.14814091666668
1263,168.14814091666668
1264,168.14814091666668
1265,168.14814091666668
1266,168.14814091666668
1267,168.14814091666668
1268,168.14814091666668
1269,168.14814091666668
1270,168.14814091666668
1271,168.14814091666668
1272,168.14814091666668
1273,168.14814091666668
1274,168.14814091666668
1275,168.14814091666668
1276,168.14814091666668
1277,168.14814091666668
1278,168.14814091666668
1279,168.14814091666668
1280,168.14814091666668
1281,168.14814091666668
1282,168.14814091666668
1283,168.14814091666668
1284,168.14814091666668
1285,168.14814091666668
1286,168.14814091666668
1287,168.14814091666668
1288,168.14814091666668
1289,168.14814091666668
1290,168.14814091666668
1291,168.14814091666668
1292,168.14814091666668
1293,168.14814091666668
1294,168.14814091666668
1295,168.14814091666668
1296,168.14814091666668
1297,168.14814091666668
1298,168.14814091666668
1299,168.14814091666668
1300,168.14814091666668
1301,168.14814091666668
1302,168.14814091666668
1303,168.14814091666668
1304,168.14814091666668
1305,168.14814091666668
1306,168.14814091666668
1307,168.14814091666668
1308,168.14814091666668
1309,168.14814091666668
1310,168.14814091666668
1311,168.14814091666668
1312,168.14814091666668
1313,168.14814091666668
1314,168.14814091666668
1315,168.14814091666668
1316,168.14814091666668
1317,168.14814091666668
1318,168.14814091666668
1319,168.14814091666668
1320,168.14814091666668
1321,168.14814091666668
1322,168.14814091666668
1323,168.14814091666668
1324,168.14814091666668
1325,168.14814091666668
1326,168.14814091666668
1327,168.14814091666668
1328,168.14814091666668
1329,168.14814091666668
1330,168.14814091666668
1331,168.14814091666668
1332,168.14814091666668
1333,168.14814091666668
1334,168.14814091666668
1335,168.14814091666668
1336,168.14814091666668
1337,168.14814091666668
1338,168.14814091666668
1339,168.14814091666668
1340,168.14814091666668
1341,168.14814091666668
1342,168.14814091666668
1343,168.14814091666668
1344,168.14814091666668
1345,168.14814091666668
1346,168.14814091666668
1347,168.14814091666668
1348,168.14814091666668
1349,168.14814091666668
1350,168.14814091666668
1351,168.14814091666668
1352,168.14814091666668
1353,168.14814091666668
1354,168.14814091666668
1355,168.14814091666668
1356,168.14814091666668
1357,168.14814091666668
1358,168.14814091666668
1359,168.14814091666668
1360,168.14814091666668
1361,168.14814091666668
1362,168.14814091666668
1363,168.14814091666668
1364,168.14814091666668
1365,168.14814091666668
1366,168.14814091666668
1367,168.14814091666668
1368,168.14814091666668
1369,168.14814091666668
1370,168.14814091666668
1371,168.14814091666668
1372,168.14814091666668
1373,168.14814091666668
1374,168.14814091666668
1375,168.14814091666668
1376,168.14814091666668
1377,168.14814091666668
1378,168.14814091666668
1379,168.14814091666668
1380,168.14814091666668
1381,168.14814091666668
1382,168.14814091666668
1383,168.14814091666668
1384,168.14814091666668
1385,168.14814091666668
1386,168.14814091666668
1387,168.14814091666668
1388,168.14814091666668
1389,168.14814091666668
1390,168.14814091666668
1391,168.14814091666668
1392,168.14814091666668
1393,168.14814091666668
1394,168.14814091666668
1395,168.14814091666668
1396,168.14814091666668
1397,168.14814091666668
1398,175.1168853846154
1399,175.1168853846154
1400,175.1168853846154
1401,175.1168853846154
1402,175.1168853846154
1403,175.1168853846154
1404,175.1168853846154
1405,175.1168853846154
1406,175.1168853846154
1407,175.1168853846154
1408,175.1168853846154
1409,175.1168853846154
1410,175.1168853846154
1411,175.1168853846154
1412,175.1168853846154
1413,175.1168853846154
1414,175.1168853846154
1415,175.1168853846154
1416,175.1168853846154
1417,175.1168853846154
1418,175.1168853846154
1419,175.1168853846154
1420,175.1168853846154
1421,175.1168853846154
1422,175.1168853846154
1423,175.1168853846154
1424,175.1168853846154
1425,175.1168853846154
1426,175.1168853846154
1427,175.1168853846154
1428,175.1168853846154
1429,175.1168853846154
1430,175.1168853846154
1431,175.1168853846154
1432,175.1168853846154
1433,175.1168853846154
1434,175.1168853846154
1435,175.1168853846154
1436,175.1168853846154
1437,175.1168853846154
1438,175.1168853846154
1439,175.1168853846154
1440,175.1168853846154
1441,175.1168853846154
1442,175.1168853846154
1443,175.1168853846154
1444,175.1168853846154
1445,175.1168853846154
1446,175.1168853846154
1447,175.1168853846154
1448,175.1168853846154
1449,175.1168853846154
1450,175.1168853846154
1451,175.1168853846154
1452,175.1168853846154
1453,175.1168853846154
1454,175.1168853846154
1455,175.1168853846154
1456,175.1168853846154
1457,175.1168853846154
1458,175.1168853846154
1459,175.1168853846154
1460,175.1168853846154
1461,175.1168853846154
1462,175.1168853846154
1463,175.1168853846154
1464,175.1168853846154
1465,175.1168853846154
1466,175.1168853846154
1467,175.1168853846154
1468,175.1168853846154
1469,175.1168853846154
1470,175.1168853846154
1471,175.1168853846154
1472,175.1168853846154
1473,175.1168853846154
1474,175.1168853846154
1475,175.1168853846154
1476,175.1168853846154
1477,175.1168853846154
1478,175.1168853846154
1479,175.1168853846154
1480,175.1168853846154
1481,175.1168853846154
1482,175.1168853846154
1483,175.1168853846154
1484,175.1168853846154
1485,175.1168853846154
1486,175.1168853846154
1487,175.1168853846154
1488,175.1168853846154
1489,175.1168853846154
1490,175.1168853846154
1491,175.1168853846154
1492,175.1168853846154
1493,175.1168853846154
1494,175.1168853846154
1495,175.1168853846154
1496,175.1168853846154
1497,175.1168853846154
1498,175.1168853846154
1499,175.1168853846154
1500,175.1168853846154
1501,175.1168853846154
1502,175.1168853846154
1503,175.1168853846154
1504,175.1168853846154
1505,175.1168853846154
1506,175.1168853846154
1507,175.1168853846154
1508,175.1168853846154
1509,175.1168853846154
1510,175.1168853846154
1511,175.1168853846154
1512,175.1168853846154
1513,175.1168853846154
1514,175.1168853846154
1515,175.1168853846154
1516,175.1168853846154
1517,175.1168853846154
1518,175.1168853846154
1519,175.1168853846154
1520,175.1168853846154
1521,175.1168853846154
1522,175.1168853846154
1523,175.1168853846154
1524,175.1168853846154
1525,175.1168853846154
1526,175.1168853846154
